x Re(psi) Im(psi)
-2.078431372549019329e+00 2.231696383919500870e-01 2.006944407539985420e-27
-2.000000000000000000e+00 2.231696383919501980e-01 2.149826838998140825e-27
-1.921568627450980671e+00 2.231696383919502813e-01 2.289948257288022688e-27
-1.843137254901961342e+00 2.231696383919503646e-01 2.426618409117562266e-27
-1.764705882352942012e+00 2.231696383919504756e-01 2.566148181728527653e-27
-1.686274509803920907e+00 2.231696383919505589e-01 2.698775421418809186e-27
-1.607843137254901578e+00 2.231696383919506421e-01 2.830416584977564455e-27
-1.529411764705882248e+00 2.231696383919507531e-01 2.957817621170756785e-27
-1.450980392156862919e+00 2.231696383919508364e-01 3.090346253247885334e-27
-1.372549019607843590e+00 2.231696383919509197e-01 3.216169567630635282e-27
-1.294117647058824261e+00 2.231696383919510307e-01 3.342387312465995736e-27
-1.215686274509803155e+00 2.231696383919511140e-01 3.467618981169829208e-27
-1.137254901960783826e+00 2.231696383919511972e-01 3.590484067157999644e-27
-1.058823529411764497e+00 2.231696383919513083e-01 3.707827126809622998e-27
-9.803921568627451677e-01 2.231696383919513915e-01 3.819648160124698551e-27
-9.019607843137258385e-01 2.231696383919514748e-01 3.939357802491984940e-27
-8.235294117647065093e-01 2.231696383919515858e-01 4.051376051033366464e-27
-7.450980392156871801e-01 2.231696383919516968e-01 4.158069488464506158e-27
-6.666666666666660745e-01 2.231696383919517801e-01 4.265551786800867582e-27
-5.882352941176467453e-01 2.231696383919518911e-01 4.366525982669155658e-27
-5.098039215686274161e-01 2.231696383919520021e-01 4.466514102405917470e-27
-4.313725490196080870e-01 2.231696383919520854e-01 4.556247030374806127e-27
-3.529411764705887578e-01 2.231696383919521964e-01 4.651107554227631362e-27
-2.745098039215694286e-01 2.231696383919523075e-01 4.738769722320315582e-27
-1.960784313725483230e-01 2.231696383919523907e-01 4.833334423333683654e-27
-1.176470588235289938e-01 2.231696383919525017e-01 4.921884059944742229e-27
-3.921568627450966460e-02 2.231696383919526128e-01 5.003235340795659072e-27
3.921568627450966460e-02 2.231696383919527238e-01 5.090897508888344009e-27
1.176470588235289938e-01 2.231696383919528348e-01 5.171361321220887930e-27
1.960784313725483230e-01 2.231696383919529736e-01 5.241569941785558698e-27
2.745098039215676522e-01 2.231696383919531124e-01 5.314539575518503008e-27
3.529411764705887578e-01 2.231696383919532789e-01 5.387509209251448035e-27
