x y Re(psi) Im(psi)
3.746031746031745158e+00 -4.000000000000000000e+00 1.014615955798957997e-01 4.608611377005281118e-02
3.873015873015872579e+00 -4.000000000000000000e+00 1.011810961960435684e-01 4.595870471007548058e-02
4.000000000000000000e+00 -4.000000000000000000e+00 1.010365068118642129e-01 4.589302899532704538e-02
-4.000000000000000000e+00 -3.873015873015873023e+00 1.011810961960435823e-01 4.595870471007556385e-02
-3.873015873015873023e+00 -3.873015873015873023e+00 1.013265186248655386e-01 4.602475881223219017e-02
-3.746031746031746046e+00 -3.873015873015873023e+00 1.016084816497609539e-01 4.615283269053084558e-02
-3.619047619047619069e+00 -3.873015873015873023e+00 1.020165735828220954e-01 4.633819712471121816e-02
-3.492063492063492092e+00 -3.873015873015873023e+00 1.025402841180049346e-01 4.657607809996172632e-02
-3.365079365079365115e+00 -3.873015873015873023e+00 1.031688154622284748e-01 4.686157101846345069e-02
-3.238095238095238138e+00 -3.873015873015873023e+00 1.038912061781152585e-01 4.718969695151745830e-02
-3.111111111111111160e+00 -3.873015873015873023e+00 1.046963449522994860e-01 4.755540889341697275e-02
-2.984126984126984183e+00 -3.873015873015873023e+00 1.055730377265582665e-01 4.795362225390044364e-02
-2.857142857142857206e+00 -3.873015873015873023e+00 1.065100478275118334e-01 4.837923308595405703e-02
-2.730158730158730229e+00 -3.873015873015873023e+00 1.074961590627554753e-01 4.882714674547847938e-02
-2.603174603174603252e+00 -3.873015873015873023e+00 1.085202306383428322e-01 4.929230283603142776e-02
-2.476190476190476275e+00 -3.873015873015873023e+00 1.095712653919210938e-01 4.976970620183554517e-02
-2.349206349206349298e+00 -3.873015873015873023e+00 1.106384751215972878e-01 5.025445660160274275e-02
-2.222222222222222321e+00 -3.873015873015873023e+00 1.117113533455898200e-01 5.074178175758653486e-02
-2.095238095238095344e+00 -3.873015873015873023e+00 1.127797451214222341e-01 5.122706906901298290e-02
-1.968253968253968367e+00 -3.873015873015873023e+00 1.138339188139018687e-01 5.170589821069303954e-02
-1.841269841269841390e+00 -3.873015873015873023e+00 1.148646321786312846e-01 5.217407114962367698e-02
-1.714285714285714413e+00 -3.873015873015873023e+00 1.158631947973821907e-01 5.262764050452345410e-02
-1.587301587301587436e+00 -3.873015873015873023e+00 1.168215209469946891e-01 5.306293356006267642e-02
-1.460317460317460458e+00 -3.873015873015873023e+00 1.177321736956637860e-01 5.347657229637770016e-02
-1.333333333333333481e+00 -3.873015873015873023e+00 1.185883959237172963e-01 5.386548747939830933e-02
-1.206349206349206504e+00 -3.873015873015873023e+00 1.193841290624030604e-01 5.422692717242180022e-02
-1.079365079365079527e+00 -3.873015873015873023e+00 1.201140171371146287e-01 5.455845857263583176e-02
-9.523809523809525501e-01 -3.873015873015873023e+00 1.207733978565686678e-01 5.485796396362490474e-02
-8.253968253968255731e-01 -3.873015873015873023e+00 1.213582804398095905e-01 5.512363064390223000e-02
-6.984126984126985960e-01 -3.873015873015873023e+00 1.218653133853589976e-01 5.535393628694076917e-02
-5.714285714285716189e-01 -3.873015873015873023e+00 1.222917437320232975e-01 5.554763043652556631e-02
-4.444444444444446418e-01 -3.873015873015873023e+00 1.226353724941105366e-01 5.570371426443786883e-02
-3.174603174603176647e-01 -3.873015873015873023e+00 1.228945086322339592e-01 5.582141966297037017e-02
-1.904761904761906877e-01 -3.873015873015873023e+00 1.230679291438817463e-01 5.590019111717588890e-02
-6.349206349206371058e-02 -3.873015873015873023e+00 1.231548410506238811e-01 5.593966843861139515e-02
6.349206349206326649e-02 -3.873015873015873023e+00 1.231548410506241586e-01 5.593966843861129107e-02
1.904761904761897995e-01 -3.873015873015873023e+00 1.230679291438825512e-01 5.590019111717556971e-02
3.174603174603172207e-01 -3.873015873015873023e+00 1.228945086322351665e-01 5.582141966296984281e-02
4.444444444444446418e-01 -3.873015873015873023e+00 1.226353724941120910e-01 5.570371426443718882e-02
5.714285714285711748e-01 -3.873015873015873023e+00 1.222917437320252404e-01 5.554763043652476140e-02
6.984126984126977078e-01 -3.873015873015873023e+00 1.218653133853612042e-01 5.535393628693986018e-02
8.253968253968251290e-01 -3.873015873015873023e+00 1.213582804398119774e-01 5.512363064390123080e-02
9.523809523809525501e-01 -3.873015873015873023e+00 1.207733978565712768e-01 5.485796396362380145e-02
1.079365079365079083e+00 -3.873015873015873023e+00 1.201140171371174181e-01 5.455845857263465215e-02
1.206349206349205616e+00 -3.873015873015873023e+00 1.193841290624060025e-01 5.422692717242053734e-02
1.333333333333333037e+00 -3.873015873015873023e+00 1.185883959237202939e-01 5.386548747939701176e-02
1.460317460317460458e+00 -3.873015873015873023e+00 1.177321736956668113e-01 5.347657229637637483e-02
1.587301587301586991e+00 -3.873015873015873023e+00 1.168215209469977700e-01 5.306293356006135109e-02
1.714285714285713524e+00 -3.873015873015873023e+00 1.158631947973852855e-01 5.262764050452213571e-02
1.841269841269840946e+00 -3.873015873015873023e+00 1.148646321786343794e-01 5.217407114962235165e-02
1.968253968253968367e+00 -3.873015873015873023e+00 1.138339188139050051e-01 5.170589821069169340e-02
2.095238095238094900e+00 -3.873015873015873023e+00 1.127797451214254121e-01 5.122706906901162288e-02
2.222222222222221433e+00 -3.873015873015873023e+00 1.117113533455929009e-01 5.074178175758516790e-02
2.349206349206348854e+00 -3.873015873015873023e+00 1.106384751216002577e-01 5.025445660160138273e-02
2.476190476190476275e+00 -3.873015873015873023e+00 1.095712653919239110e-01 4.976970620183425453e-02
2.603174603174602808e+00 -3.873015873015873023e+00 1.085202306383454274e-01 4.929230283603023427e-02
2.730158730158729341e+00 -3.873015873015873023e+00 1.074961590627577929e-01 4.882714674547740386e-02
2.857142857142856762e+00 -3.873015873015873023e+00 1.065100478275138318e-01 4.837923308595307864e-02
2.984126984126984183e+00 -3.873015873015873023e+00 1.055730377265600151e-01 4.795362225389957628e-02
3.111111111111110716e+00 -3.873015873015873023e+00 1.046963449523009709e-01 4.755540889341623723e-02
3.238095238095237249e+00 -3.873015873015873023e+00 1.038912061781165075e-01 4.718969695151684768e-02
3.365079365079364671e+00 -3.873015873015873023e+00 1.031688154622294323e-01 4.686157101846294415e-02
3.492063492063492092e+00 -3.873015873015873023e+00 1.025402841180056562e-01 4.657607809996137938e-02
3.619047619047618625e+00 -3.873015873015873023e+00 1.020165735828226228e-01 4.633819712471096142e-02
3.746031746031745158e+00 -3.873015873015873023e+00 1.016084816497612869e-01 4.615283269053069293e-02
3.873015873015872579e+00 -3.873015873015873023e+00 1.013265186248656635e-01 4.602475881223211385e-02
4.000000000000000000e+00 -3.873015873015873023e+00 1.011810961960436378e-01 4.595870471007552222e-02
-4.000000000000000000e+00 -3.746031746031746046e+00 1.014615955798958413e-01 4.608611377005296383e-02
