x Re(psi) Im(psi)
-7.411764705882353255e+00 -1.562328245691581644e-02 -1.288944677533387928e-01
-7.333333333333333925e+00 -1.271741790205432876e-02 -1.352916537730699531e-01
-7.254901960784313708e+00 -9.803892850183539703e-03 -1.416073451594488386e-01
-7.176470588235294379e+00 -6.884462299850972224e-03 -1.478377375761434354e-01
-7.098039215686274161e+00 -3.960884806855579331e-03 -1.539790780677311455e-01
-7.019607843137254832e+00 -1.034921424959579306e-03 -1.600276673203394895e-01
-6.941176470588235503e+00 1.891665354904638937e-03 -1.659798618899739342e-01
-6.862745098039216174e+00 4.817112666292958437e-03 -1.718320763971926401e-01
-6.784313725490195957e+00 7.739658329134592799e-03 -1.775807856868048817e-01
-6.705882352941176627e+00 1.065754191120319057e-02 -1.832225269512926524e-01
-6.627450980392156410e+00 1.356900578853563293e-02 -1.887539018166764782e-01
-6.549019607843137081e+00 1.647229620415893367e-02 -1.941715783895689718e-01
-6.470588235294117752e+00 1.936566432448765321e-02 -1.994722932641824764e-01
-6.392156862745098422e+00 2.224736729275612890e-02 -2.046528534880831529e-01
-6.313725490196079093e+00 2.511566927885010639e-02 -2.097101384855056261e-01
-6.235294117647058876e+00 2.796884252490588682e-02 -2.146411019370717543e-01
-6.156862745098038658e+00 3.080516838604708402e-02 -2.194427736147786523e-01
-6.078431372549019329e+00 3.362293836563191862e-02 -2.241122611711539037e-01
-6.000000000000000000e+00 3.642045514438797121e-02 -2.286467518814968569e-01
-5.921568627450980671e+00 3.919603360281359583e-02 -2.330435143381590912e-01
-5.843137254901960453e+00 4.194800183623095813e-02 -2.372999000958423699e-01
-5.764705882352941124e+00 4.467470216187901383e-02 -2.414133452669227076e-01
-5.686274509803921795e+00 4.737449211743940958e-02 -2.453813720658406250e-01
-5.607843137254901578e+00 5.004574545039461309e-02 -2.492015903016265854e-01
-5.529411764705882248e+00 5.268685309762148605e-02 -2.528716988176624714e-01
-5.450980392156862919e+00 5.529622415463066043e-02 -2.563894868778124336e-01
-5.372549019607843590e+00 5.787228683386809458e-02 -2.597528354980876975e-01
-5.294117647058823373e+00 6.041348941150102847e-02 -2.629597187230430788e-01
-5.215686274509804043e+00 6.291830116211831470e-02 -2.660082048461369642e-01
-5.137254901960784714e+00 6.538521328078236716e-02 -2.688964575733189255e-01
-5.058823529411764497e+00 6.781273979187667222e-02 -2.716227371291449200e-01
-4.980392156862745168e+00 7.019941844420203581e-02 -2.741854013047527738e-01
-4.901960784313725839e+00 7.254381159178192873e-02 -2.765829064470671783e-01
-4.823529411764705621e+00 7.484450705984677099e-02 -2.788138083886388396e-01
-4.745098039215686292e+00 7.710011899547510039e-02 -2.808767633175570100e-01
-4.666666666666666963e+00 7.930928870237971551e-02 -2.827705285869113183e-01
-4.588235294117646745e+00 8.147068545933539019e-02 -2.844939634633159575e-01
-4.509803921568627416e+00 8.358300732175545644e-02 -2.860460298140448110e-01
-4.431372549019608087e+00 8.564498190593482219e-02 -2.874257927323636275e-01
-4.352941176470588758e+00 8.765536715548619129e-02 -2.886324211006831564e-01
-4.274509803921568540e+00 8.961295208950838254e-02 -2.896651880911929600e-01
-4.196078431372549211e+00 9.151655753203598309e-02 -2.905234716036758091e-01
-4.117647058823529882e+00 9.336503682233075752e-02 -2.912067546402368756e-01
-4.039215686274509665e+00 9.515727650558740425e-02 -2.917146256167246210e-01
-3.960784313725490335e+00 9.689219700363675691e-02 -2.920467786106533126e-01
-3.882352941176471006e+00 9.856875326524375258e-02 -2.922030135454793953e-01
-3.803921568627450789e+00 1.001859353956068427e-01 -2.921832363111201425e-01
-3.725490196078431460e+00 1.017427692646810655e-01 -2.919874588206419763e-01
-3.647058823529412130e+00 1.032383170939574490e-01 -2.916157990030847080e-01
-3.568627450980391913e+00 1.046716780213457487e-01 -2.910684807324249723e-01
-3.490196078431372584e+00 1.060419886438200981e-01 -2.903458336927235983e-01
-3.411764705882353255e+00 1.073484235375007922e-01 -2.894482931795359093e-01
-3.333333333333333037e+00 1.085901957548586205e-01 -2.883763998377056881e-01
-3.254901960784313708e+00 1.097665572987426702e-01 -2.871307993357012367e-01
-3.176470588235294379e+00 1.108767995729458555e-01 -2.857122419766892074e-01
-3.098039215686274161e+00 1.119202538090368904e-01 -2.841215822465791851e-01
-3.019607843137254832e+00 1.128962914692012154e-01 -2.823597782993141903e-01
-2.941176470588235503e+00 1.138043246248487683e-01 -2.804278913797137451e-01
-2.862745098039216174e+00 1.146438063107600713e-01 -2.783270851842204463e-01
-2.784313725490195957e+00 1.154142308545578061e-01 -2.760586251599322916e-01
-2.705882352941176627e+00 1.161151341813048132e-01 -2.736238777423445900e-01
-2.627450980392157298e+00 1.167460940930455243e-01 -2.710243095322606433e-01
-2.549019607843137081e+00 1.173067305231222379e-01 -2.682614864123661347e-01
-2.470588235294117752e+00 1.177967057651130856e-01 -2.653370726039999128e-01
-2.392156862745098422e+00 1.182157246762535197e-01 -2.622528296646891022e-01
-2.313725490196078205e+00 1.185635348552196433e-01 -2.590106154270531702e-01
-2.235294117647058876e+00 1.188399267941650100e-01 -2.556123828797146058e-01
-2.156862745098039547e+00 1.190447340049206604e-01 -2.520601789908919477e-01
-2.078431372549019329e+00 1.191778331192810264e-01 -2.483561434753823460e-01
-2.000000000000000000e+00 1.192391439633165712e-01 -2.445025075056775077e-01
-1.921568627450980671e+00 1.192286296056673661e-01 -2.405015923679887369e-01
-1.843137254901961342e+00 1.191462963797893237e-01 -2.363558080639913128e-01
-1.764705882352942012e+00 1.189921938801390688e-01 -2.320676518591290316e-01
-1.686274509803920907e+00 1.187664149323001822e-01 -2.276397067783552663e-01
-1.607843137254901578e+00 1.184690955370682752e-01 -2.230746400502149895e-01
-1.529411764705882248e+00 1.181004147885297145e-01 -2.183752015002065616e-01
-1.450980392156862919e+00 1.176605947661814450e-01 -2.135442218943890691e-01
-1.372549019607843590e+00 1.171499004011591211e-01 -2.085846112342351899e-01
-1.294117647058824261e+00 1.165686393166520812e-01 -2.034993570037548216e-01
-1.215686274509803155e+00 1.159171616426028367e-01 -1.982915223699464879e-01
-1.137254901960783826e+00 1.151958598048019450e-01 -1.929642443376600458e-01
-1.058823529411764497e+00 1.144051682885052906e-01 -1.875207318599824979e-01
-9.803921568627451677e-01 1.135455633767164657e-01 -1.819642639052843069e-01
-9.019607843137258385e-01 1.126175628632915676e-01 -1.762981874820916950e-01
-8.235294117647065093e-01 1.116217257410398456e-01 -1.705259156229737005e-01
-7.450980392156871801e-01 1.105586518650067962e-01 -1.646509253286591312e-01
-6.666666666666660745e-01 1.094289815911445862e-01 -1.586767554736212005e-01
-5.882352941176467453e-01 1.082333953905850327e-01 -1.526070046743920605e-01
-5.098039215686274161e-01 1.069726134397495920e-01 -1.464453291218904829e-01
-4.313725490196080870e-01 1.056473951865416205e-01 -1.401954403790695025e-01
-3.529411764705887578e-01 1.042585388928839590e-01 -1.338611031452094091e-01
-2.745098039215694286e-01 1.028068811538750682e-01 -1.274461329882037031e-01
-1.960784313725483230e-01 1.012932963938559527e-01 -1.209543940462038253e-01
-1.176470588235289938e-01 9.971869633968954982e-02 -1.143897967000066240e-01
-3.921568627450966460e-02 9.808402947157035534e-02 -1.077562952175873529e-01
3.921568627450966460e-02 9.639028045169560632e-02 -1.010578853721965098e-01
1.176470588235289938e-01 9.463846953114145311e-02 -9.429860203545517572e-02
1.960784313725483230e-01 9.282965193530200165e-02 -8.748251674689953850e-02
2.745098039215676522e-01 9.096491722826101356e-02 -8.061373526143754409e-02
3.529411764705887578e-01 8.904538865647906865e-02 -7.369639507619582530e-02
4.313725490196080870e-01 8.707222247219198463e-02 -6.673466293824593942e-02
5.098039215686274161e-01 8.504660723692773761e-02 -5.973273233471176891e-02
5.882352941176467453e-01 8.296976310556143652e-02 -5.269482096676991051e-02
6.666666666666660745e-01 8.084294109133964568e-02 -4.562516820906392656e-02
7.450980392156854037e-01 7.866742231231667326e-02 -3.852803255606371269e-02
8.235294117647065093e-01 7.644451721965718483e-02 -3.140768905690767554e-02
9.019607843137258385e-01 7.417556480826924259e-02 -2.426842674027286303e-02
9.803921568627451677e-01 7.186193181024380650e-02 -1.711454603082462889e-02
1.058823529411764497e+00 6.950501187158655836e-02 -9.950356158801521023e-03
1.137254901960783826e+00 6.710622471273769429e-02 -2.780172564296155835e-03
1.215686274509803155e+00 6.466701527338526712e-02 4.391685702204575076e-03
1.294117647058822484e+00 6.218885284208758302e-02 1.156089858145396658e-02
1.372549019607843590e+00 5.967323017122885126e-02 1.872314760768771860e-02
1.450980392156862919e+00 5.712166257784070250e-02 2.587411850990617088e-02
1.529411764705882248e+00 5.453568703083227359e-02 3.300950381062988520e-02
1.607843137254901578e+00 5.191686122517709390e-02 4.012500542056293001e-02
1.686274509803920907e+00 4.926676264361647128e-02 4.721633722760125440e-02
1.764705882352940236e+00 4.658698760644214981e-02 5.427922767862618930e-02
1.843137254901961342e+00 4.387915030993339016e-02 6.130942235252863359e-02
1.921568627450980671e+00 4.114488185402508102e-02 6.830268652291290876e-02
2.000000000000000000e+00 3.838582925979408533e-02 7.525480770893767934e-02
2.078431372549019329e+00 3.560365447735561184e-02 8.216159821275716146e-02
2.156862745098038658e+00 3.280003338476640551e-02 8.901889764203338440e-02
2.235294117647057988e+00 2.997665477853845781e-02 9.582257541600094908e-02
2.313725490196079093e+00 2.713521935637123322e-02 1.025685332535748173e-01
2.392156862745098422e+00 2.427743869271489080e-02 1.092527076420012483e-01
2.470588235294117752e+00 2.140503420778195470e-02 1.158710722845659874e-01
2.549019607843137081e+00 1.851973613062803808e-02 1.224196405258849984e-01
2.627450980392156410e+00 1.562328245692654570e-02 1.288944677533164218e-01
2.705882352941175739e+00 1.271741790206514650e-02 1.352916537730477764e-01
2.784313725490195068e+00 9.803892850194438971e-03 1.416073451594269672e-01
2.862745098039216174e+00 6.884462299861952156e-03 1.478377375761217583e-01
2.941176470588235503e+00 3.960884806866637325e-03 1.539790780677097182e-01
3.019607843137254832e+00 1.034921424970711677e-03 1.600276673203182842e-01
3.098039215686274161e+00 -1.891665354893433708e-03 1.659798618899528955e-01
3.176470588235293491e+00 -4.817112666281683601e-03 1.718320763971717680e-01
3.254901960784312820e+00 -7.739658329123250309e-03 1.775807856867841206e-01
3.333333333333333925e+00 -1.065754191119178303e-02 1.832225269512720578e-01
3.411764705882353255e+00 -1.356900578852416467e-02 1.887539018166560501e-01
3.490196078431372584e+00 -1.647229620414740470e-02 1.941715783895486547e-01
3.568627450980391913e+00 -1.936566432447607913e-02 1.994722932641623259e-01
3.647058823529411242e+00 -2.224736729274450278e-02 2.046528534880631689e-01
3.725490196078430571e+00 -2.511566927883843864e-02 2.097101384854857531e-01
3.803921568627451677e+00 -2.796884252489417744e-02 2.146411019370519924e-01
3.882352941176471006e+00 -3.080516838603534688e-02 2.194427736147590013e-01
3.960784313725490335e+00 -3.362293836562015026e-02 2.241122611711343637e-01
4.039215686274509665e+00 -3.642045514437616122e-02 2.286467518814774280e-01
