x y Re(psi) Im(psi)
-6.349206349206371058e-02 -4.000000000000000000e+00 1.531038631704702844e-03 1.537166031943634987e-03
6.349206349206326649e-02 -4.000000000000000000e+00 1.531038631704646899e-03 1.537166031943579042e-03
1.904761904761897995e-01 -4.000000000000000000e+00 1.520205498332440151e-03 1.526289543072284960e-03
3.174603174603172207e-01 -4.000000000000000000e+00 1.498815719103632023e-03 1.504814159381463257e-03
4.444444444444446418e-01 -4.000000000000000000e+00 1.467377669338285713e-03 1.473250290770322700e-03
5.714285714285711748e-01 -4.000000000000000000e+00 1.426626751584358400e-03 1.432336282955932105e-03
6.984126984126977078e-01 -4.000000000000000000e+00 1.377496106841542313e-03 1.383009011480039940e-03
8.253968253968251290e-01 -4.000000000000000000e+00 1.321074342095982608e-03 1.326361440064646475e-03
9.523809523809525501e-01 -4.000000000000000000e+00 1.258561979082987049e-03 1.263598895077011966e-03
1.079365079365079083e+00 -4.000000000000000000e+00 1.191225441554265123e-03 1.195992868648672195e-03
1.206349206349205616e+00 -4.000000000000000000e+00 1.120352261769379200e-03 1.124836045897691615e-03
1.333333333333333037e+00 -4.000000000000000000e+00 1.047209146794605018e-03 1.051400203403890163e-03
1.460317460317460458e+00 -4.000000000000000000e+00 9.730052388236995172e-04 9.768993224931390041e-04
1.587301587301586991e+00 -4.000000000000000000e+00 8.988616376519642558e-04 9.024589897365855196e-04
1.714285714285713524e+00 -4.000000000000000000e+00 8.257881860574617979e-04 8.290930894241860857e-04
1.841269841269840946e+00 -4.000000000000000000e+00 7.546676082083012037e-04 7.576878784921149343e-04
1.968253968253968367e+00 -4.000000000000000000e+00 6.862468836083778206e-04 6.889933259458425226e-04
2.095238095238094900e+00 -4.000000000000000000e+00 6.211351454671666140e-04 6.236210028189959976e-04
2.222222222222221433e+00 -4.000000000000000000e+00 5.598072860306180839e-04 5.620477019332092376e-04
2.349206349206348854e+00 -4.000000000000000000e+00 5.026121551606844767e-04 5.046236692894598419e-04
2.476190476190476275e+00 -4.000000000000000000e+00 4.497842907083613568e-04 4.515843813873216179e-04
2.603174603174602808e+00 -4.000000000000000000e+00 4.014580490785592953e-04 4.030647323422038224e-04
2.730158730158729341e+00 -4.000000000000000000e+00 3.576831764328389576e-04 3.591146674057707901e-04
2.857142857142856762e+00 -4.000000000000000000e+00 3.184409178057872832e-04 3.197153565529041561e-04
2.984126984126984183e+00 -4.000000000000000000e+00 2.836599859662149929e-04 2.847952272524798684e-04
3.111111111111110716e+00 -4.000000000000000000e+00 2.532318032389785606e-04 2.542452672883941116e-04
3.238095238095237249e+00 -4.000000000000000000e+00 2.270246546765433508e-04 2.279332345740797119e-04
3.365079365079364671e+00 -4.000000000000000000e+00 2.048964465215982723e-04 2.057164666760326094e-04
3.492063492063492092e+00 -4.000000000000000000e+00 1.867059770221314477e-04 1.874531967358645200e-04
3.619047619047618625e+00 -4.000000000000000000e+00 1.723225822809605710e-04 1.730122379237394154e-04
3.746031746031745158e+00 -4.000000000000000000e+00 1.616342842432065725e-04 1.622811640352768306e-04
3.873015873015872579e+00 -4.000000000000000000e+00 1.545542498766058683e-04 1.551727945219672584e-04
4.000000000000000000e+00 -4.000000000000000000e+00 1.510262225984173874e-04 1.516306476554900393e-04
-4.000000000000000000e+00 -3.873015873015873023e+00 1.545542498766013960e-04 1.551727945220105994e-04
-3.873015873015873023e+00 -3.873015873015873023e+00 1.582104001258543158e-04 1.588435771230519138e-04
-3.746031746031746046e+00 -3.873015873015873023e+00 1.655490636554029669e-04 1.662116108643078253e-04
-3.619047619047619069e+00 -3.873015873015873023e+00 1.766317763890091369e-04 1.773386779435507732e-04
-3.492063492063492092e+00 -3.873015873015873023e+00 1.915534778016931357e-04 1.923200977950304306e-04
-3.365079365079365115e+00 -3.873015873015873023e+00 2.104368576553284460e-04 2.112790511997615877e-04
-3.238095238095238138e+00 -3.873015873015873023e+00 2.334256469983097681e-04 2.343598444350046247e-04
-3.111111111111111160e+00 -3.873015873015873023e+00 2.606761423616273110e-04 2.617193995492254573e-04
-2.984126984126984183e+00 -3.873015873015873023e+00 2.923471193512879518e-04 2.935171275874516464e-04
-2.857142857142857206e+00 -3.873015873015873023e+00 3.285880070108023582e-04 3.299030556261550924e-04
-2.730158730158730229e+00 -3.873015873015873023e+00 3.695254059434248135e-04 3.710042909393732611e-04
-2.603174603174603252e+00 -3.873015873015873023e+00 4.152480666080533346e-04 4.169099391759857631e-04
-2.476190476190476275e+00 -3.873015873015873023e+00 4.657905730022010235e-04 4.676547227428545154e-04
-2.349206349206349298e+00 -3.873015873015873023e+00 5.211161557644607535e-04 5.232017251231351959e-04
-2.222222222222222321e+00 -3.873015873015873023e+00 5.810991649816102562e-04 5.834247935375948225e-04
-2.095238095238095344e+00 -3.873015873015873023e+00 6.455080048296199264e-04 6.480914052879769519e-04
-1.968253968253968367e+00 -3.873015873015873023e+00 7.139893873847136599e-04 7.168468585497078226e-04
-1.841269841269841390e+00 -3.873015873015873023e+00 7.860550752558798917e-04 7.892009619473948877e-04
-1.714285714285714413e+00 -3.873015873015873023e+00 8.610722016650273949e-04 8.645183158940694668e-04
-1.587301587301587436e+00 -3.873015873015873023e+00 9.382585447659437007e-04 9.420135679979757017e-04
-1.460317460317460458e+00 -3.873015873015873023e+00 1.016683786548948365e-03 1.020752677005019957e-03
-1.333333333333333481e+00 -3.873015873015873023e+00 1.095278004988734996e-03 1.099661438933699758e-03
-1.206349206349206504e+00 -3.873015873015873023e+00 1.172847886134073319e-03 1.177541764047237201e-03
-1.079365079365079527e+00 -3.873015873015873023e+00 1.248101342382106982e-03 1.253096393653182952e-03
-9.523809523809525501e-01 -3.873015873015873023e+00 1.319679889858680483e-03 1.324961407062016840e-03
-8.253968253968255731e-01 -3.873015873015873023e+00 1.386198606657697329e-03 1.391746339744041406e-03
-6.984126984126985960e-01 -3.873015873015873023e+00 1.446291337785194937e-03 1.452079569189116195e-03
-5.714285714285716189e-01 -3.873015873015873023e+00 1.498660376989756435e-03 1.504658195569773130e-03
-4.444444444444446418e-01 -3.873015873015873023e+00 1.542125904753296898e-03 1.548297677588777966e-03
-3.174603174603176647e-01 -3.873015873015873023e+00 1.575675383374838508e-03 1.581981425247750090e-03
-1.904761904761906877e-01 -3.873015873015873023e+00 1.598498044720944459e-03 1.604895425621733884e-03
-6.349206349206371058e-02 -3.873015873015873023e+00 1.610029100090860097e-03 1.616472629658409921e-03
6.349206349206326649e-02 -3.873015873015873023e+00 1.610029100090860097e-03 1.616472629658353977e-03
1.904761904761897995e-01 -3.873015873015873023e+00 1.598498044720832786e-03 1.604895425621845773e-03
3.174603174603172207e-01 -3.873015873015873023e+00 1.575675383374894236e-03 1.581981425247861979e-03
4.444444444444446418e-01 -3.873015873015873023e+00 1.542125904753240953e-03 1.548297677588833911e-03
5.714285714285711748e-01 -3.873015873015873023e+00 1.498660376989616573e-03 1.504658195569829075e-03
6.984126984126977078e-01 -3.873015873015873023e+00 1.446291337784999347e-03 1.452079569189144168e-03
8.253968253968251290e-01 -3.873015873015873023e+00 1.386198606657543589e-03 1.391746339744097134e-03
9.523809523809525501e-01 -3.873015873015873023e+00 1.319679889858554715e-03 1.324961407062086663e-03
1.079365079365079083e+00 -3.873015873015873023e+00 1.248101342381869325e-03 1.253096393653210924e-03
1.206349206349205616e+00 -3.873015873015873023e+00 1.172847886133856696e-03 1.177541764047286207e-03
1.333333333333333037e+00 -3.873015873015873023e+00 1.095278004988490617e-03 1.099661438933741825e-03
1.460317460317460458e+00 -3.873015873015873023e+00 1.016683786548717647e-03 1.020752677005019957e-03
1.587301587301586991e+00 -3.873015873015873023e+00 9.382585447657061520e-04 9.420135679979268041e-04
1.714285714285713524e+00 -3.873015873015873023e+00 8.610722016647758600e-04 8.645183158939925968e-04
1.841269841269840946e+00 -3.873015873015873023e+00 7.860550752556493903e-04 7.892009619472725897e-04
1.968253968253968367e+00 -3.873015873015873023e+00 7.139893873844935668e-04 7.168468585495593954e-04
2.095238095238094900e+00 -3.873015873015873023e+00 6.455080048294330099e-04 6.480914052877673756e-04
2.222222222222221433e+00 -3.873015873015873023e+00 5.810991649814373260e-04 5.834247935373887157e-04
2.349206349206348854e+00 -3.873015873015873023e+00 5.211161557643228430e-04 5.232017251229326670e-04
2.476190476190476275e+00 -3.873015873015873023e+00 4.657905730020874533e-04 4.676547227426300856e-04
2.603174603174602808e+00 -3.873015873015873023e+00 4.152480666079554853e-04 4.169099391757840473e-04
2.730158730158729341e+00 -3.873015873015873023e+00 3.695254059433444741e-04 3.710042909391880793e-04
2.857142857142856762e+00 -3.873015873015873023e+00 3.285880070107582312e-04 3.299030556259725127e-04
2.984126984126984183e+00 -3.873015873015873023e+00 2.923471193512316275e-04 2.935171275872944371e-04
3.111111111111110716e+00 -3.873015873015873023e+00 2.606761423615805819e-04 2.617193995490939978e-04
3.238095238095237249e+00 -3.873015873015873023e+00 2.334256469982940471e-04 2.343598444348941445e-04
3.365079365079364671e+00 -3.873015873015873023e+00 2.104368576553170890e-04 2.112790511996803810e-04
3.492063492063492092e+00 -3.873015873015873023e+00 1.915534778016634557e-04 1.923200977949771420e-04
3.619047619047618625e+00 -3.873015873015873023e+00 1.766317763890031195e-04 1.773386779434996802e-04
3.746031746031745158e+00 -3.873015873015873023e+00 1.655490636553854028e-04 1.662116108642581417e-04
3.873015873015872579e+00 -3.873015873015873023e+00 1.582104001258271295e-04 1.588435771230554917e-04
4.000000000000000000e+00 -3.873015873015873023e+00 1.545542498765772725e-04 1.551727945220064523e-04
-4.000000000000000000e+00 -3.746031746031746046e+00 1.616342842432121291e-04 1.622811640353288994e-04
-3.873015873015873023e+00 -3.746031746031746046e+00 1.655490636554291775e-04 1.662116108642713419e-04
-3.746031746031746046e+00 -3.746031746031746046e+00 1.734100087572114899e-04 1.741040164112522793e-04
-3.619047619047619069e+00 -3.746031746031746046e+00 1.852895554450475081e-04 1.860311064697818789e-04
-3.492063492063492092e+00 -3.746031746031746046e+00 2.012993239623490785e-04 2.021049480009379923e-04
-3.365079365079365115e+00 -3.746031746031746046e+00 2.215840493408305595e-04 2.224708552833915031e-04
-3.238095238095238138e+00 -3.746031746031746046e+00 2.463144030987656570e-04 2.473001828832631604e-04
-3.111111111111111160e+00 -3.746031746031746046e+00 2.756778481892541263e-04 2.767811440028924877e-04
-2.984126984126984183e+00 -3.746031746031746046e+00 3.098677054693000765e-04 3.111078331925430911e-04
-2.857142857142857206e+00 -3.746031746031746046e+00 3.490701803625061704e-04 3.504672010922664049e-04
-2.730158730158730229e+00 -3.746031746031746046e+00 3.934494662340153504e-04 3.950240981887246793e-04
-2.603174603174603252e+00 -3.746031746031746046e+00 4.431309080836731652e-04 4.449043711274885309e-04
-2.476190476190476275e+00 -3.746031746031746046e+00 4.981825567010765218e-04 5.001763430456145553e-04
-2.349206349206349298e+00 -3.746031746031746046e+00 5.585954072295453874e-04 5.608309730478809943e-04
-2.222222222222222321e+00 -3.746031746031746046e+00 6.242630344191245698e-04 6.267614099577131608e-04
-2.095238095238095344e+00 -3.746031746031746046e+00 6.949613178613743905e-04 6.977426364099745260e-04
-1.968253968253968367e+00 -3.746031746031746046e+00 7.703294473176870586e-04 7.734123981600240626e-04
